         24480015 function calls (24477670 primitive calls) in 22.637 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      432    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      169    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        4    0.000    0.000    0.000    0.000 re.py:205(split)
      714    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
     1101    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
      470    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
      472    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
       18    0.000    0.000    0.000    0.000 core.py:995(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
       27    0.000    0.000    0.000    0.000 core.py:919(__init__)
       51    0.000    0.000    0.000    0.000 _internal.py:840(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
      472    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       41    0.000    0.000    0.000    0.000 enum.py:70(__setitem__)
        4    0.000    0.000    0.000    0.000 re.py:185(sub)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
      268    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
     1062    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      322    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
     1062    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       13    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
       21    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      239    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
      860    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
      402    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       19    0.000    0.000    0.000    0.000 enum.py:836(__and__)
